Main Topic,Sub Topic
Biomolecules,"Carbohydrates, Proteins and Lipids"
Biomolecules,Nucleic Acids
Biomolecules,Enzymes and Metabolism
Respiration and Energy Transfer,Glycolysis
Respiration and Energy Transfer,Tricarboxylic Acid (Krebs) Cycle
Respiration and Energy Transfer,Electron Transport Chain and ATP Synthesis
Human Nutrition,Digestive System and Glands
Human Nutrition,Physiology of Digestion
Human Nutrition,"Absorption, Assimilation and Disorders"
Excretion and Osmoregulation,Human Excretory System
Excretion and Osmoregulation,Urine Formation
Excretion and Osmoregulation,Dialysis and Kidney Disorders
Diversity in Organisms,Concept of Living
Diversity in Organisms,Taxonomic Aids
Plant Tissues and Anatomy,Meristematic and Permanent Tissues
Plant Tissues and Anatomy,Xylem and Phloem
Plant Tissues and Anatomy,Secondary Growth in Plants
Photosynthesis in Higher Plants,Light Reaction
Photosynthesis in Higher Plants,Calvin Cycle (Dark Reaction)
Photosynthesis in Higher Plants,"C4, CAM Pathway and Photorespiration"
Organization of Cell,Prokaryotic and Eukaryotic Cells
Organization of Cell,Cell Organelles
Organization of Cell,Cell Membrane and Nucleus
Animal Tissues,Epithelial Tissue
Animal Tissues,Connective Tissue
Animal Tissues,Muscular and Nervous Tissue
Skeleton and Movement,Types of Movement and Locomotion
Skeleton and Movement,Human Skeletal System
Skeleton and Movement,Joint and Bone Disorders
Systematics of Living Organisms,Five Kingdom Classification
Systematics of Living Organisms,Kingdom Monera
Systematics of Living Organisms,Kingdom Protista and Fungi
Kingdom Plantae,Classification of Kingdom Plantae
Kingdom Plantae,Thallophyta (Algae)
Kingdom Plantae,"Bryophyta, Pteridophyta and Spermatophyta"
Kingdom Animalia,Basis of Classification
Kingdom Animalia,Non-Chordates (Invertebrata)
Kingdom Animalia,Phylum Chordata
Reproduction in Lower and Higher Plants,Asexual and Sexual Reproduction
Reproduction in Lower and Higher Plants,Microsporogenesis and Megasporogenesis
Reproduction in Lower and Higher Plants,"Pollination, Double Fertilization and Seed Formation"
Reproduction in Lower and Higher Animals,Human Reproductive Systems
Reproduction in Lower and Higher Animals,Gametogenesis and Menstrual Cycle
Reproduction in Lower and Higher Animals,"Fertilization, Pregnancy and Reproductive Health"
Inheritance and Variation,Mendelian Inheritance
Inheritance and Variation,Deviations from Mendelism
Inheritance and Variation,"Linkage, Sex Determination and Genetic Disorders"
Molecular Basis of Inheritance,DNA Structure and Replication
Molecular Basis of Inheritance,Transcription and Translation
Molecular Basis of Inheritance,Gene Regulation and Human Genome Project
Origin and Evolution of Life,Origin of Life and Chemical Evolution
Origin and Evolution of Life,Theories of Evolution
Origin and Evolution of Life,Hardy-Weinberg Principle and Human Evolution
Plant Water Relation,"Diffusion, Osmosis and Water Potential"
Plant Water Relation,Absorption and Translocation of Water
Plant Water Relation,Transpiration and Stomatal Apparatus
Plant Growth and Mineral Nutrition,Plant Growth and Growth Curve
Plant Growth and Mineral Nutrition,Plant Hormones
Plant Growth and Mineral Nutrition,Mineral Nutrition and Nitrogen Cycle
Respiration and Circulation,Human Respiratory System and Breathing
Respiration and Circulation,Circulatory System and Blood
Respiration and Circulation,"Human Heart, ECG and Disorders"
Control and Co-ordination,Nervous Tissue and Nerve Impulse
Control and Co-ordination,Human Nervous System and Brain
Control and Co-ordination,Endocrine System and Hormones
Human Health and Diseases,Immunity and Immune System
Human Health and Diseases,Infectious Diseases
Human Health and Diseases,"Cancer, AIDS and Drug Abuse"
Enhancement of Food Production,Plant Breeding and Tissue Culture
Enhancement of Food Production,Animal Husbandry
Enhancement of Food Production,Microbes in Human Welfare
Biotechnology,Principles of Biotechnology
Biotechnology,rDNA Technology and Gene Cloning
Biotechnology,Applications and Bioethics
Organisms and Populations,Organisms and Environment
Organisms and Populations,Adaptations
Organisms and Populations,Population Attributes and Interactions
Ecosystems and Energy Flow,Ecosystem Structure and Function
Ecosystems and Energy Flow,Energy Flow and Ecological Pyramids
Ecosystems and Energy Flow,Biogeochemical Cycles and Succession
"Biodiversity, Conservation and Environmental Issues",Levels and Patterns of Biodiversity
"Biodiversity, Conservation and Environmental Issues",Conservation of Biodiversity
"Biodiversity, Conservation and Environmental Issues",Environmental Pollution and Global Warming
