Sheet,Class,Main Topic,Sub Topic
MHTCET_Physics,11,Units and Measurements,Physical Quantities
MHTCET_Physics,11,Units and Measurements,SI Units
MHTCET_Physics,11,Units and Measurements,Dimensions
MHTCET_Physics,11,Units and Measurements,Dimensional Analysis
MHTCET_Physics,11,Units and Measurements,Errors in Measurement
MHTCET_Physics,11,Units and Measurements,Significant Figures
MHTCET_Physics,11,Motion in a Plane,Scalars and Vectors
MHTCET_Physics,11,Motion in a Plane,Vector Addition and Subtraction
MHTCET_Physics,11,Motion in a Plane,Resolution of Vectors
MHTCET_Physics,11,Motion in a Plane,Projectile Motion
MHTCET_Physics,11,Motion in a Plane,Relative Velocity
MHTCET_Physics,11,Laws of Motion,Newton's First Law
MHTCET_Physics,11,Laws of Motion,Newton's Second Law
MHTCET_Physics,11,Laws of Motion,Newton's Third Law
MHTCET_Physics,11,Laws of Motion,Friction
MHTCET_Physics,11,Laws of Motion,Circular Motion
MHTCET_Physics,11,Gravitation,Universal Law of Gravitation
MHTCET_Physics,11,Gravitation,Acceleration due to Gravity
MHTCET_Physics,11,Gravitation,Escape Velocity
MHTCET_Physics,11,Gravitation,Satellites
MHTCET_Physics,11,Thermal Properties of Matter,Heat and Temperature
MHTCET_Physics,11,Thermal Properties of Matter,Thermal Expansion
MHTCET_Physics,11,Thermal Properties of Matter,Specific Heat Capacity
MHTCET_Physics,11,Thermal Properties of Matter,Calorimetry
MHTCET_Physics,12,Thermodynamics,First Law of Thermodynamics
MHTCET_Physics,12,Thermodynamics,Second Law of Thermodynamics
MHTCET_Physics,12,Thermodynamics,Heat Engines
MHTCET_Physics,12,Thermodynamics,Carnot Engine
MHTCET_Physics,12,Kinetic Theory of Gases,Gas Laws
MHTCET_Physics,12,Kinetic Theory of Gases,Ideal Gas Equation
MHTCET_Physics,12,Kinetic Theory of Gases,RMS Velocity
MHTCET_Physics,12,Kinetic Theory of Gases,Degrees of Freedom
MHTCET_Physics,12,Oscillations,Simple Harmonic Motion
MHTCET_Physics,12,Oscillations,Energy in SHM
MHTCET_Physics,12,Oscillations,Damped Oscillations
MHTCET_Physics,12,Oscillations,Forced Oscillations
MHTCET_Physics,11,Waves,Wave Motion
MHTCET_Physics,11,Waves,Speed of Wave
MHTCET_Physics,12,Waves,Superposition Principle
MHTCET_Physics,12,Waves,Stationary Waves
MHTCET_Physics,11,Waves,Doppler Effect
MHTCET_Physics,11,Electrostatics,Electric Charge
MHTCET_Physics,11,Electrostatics,Coulomb's Law
MHTCET_Physics,11,Electrostatics,Electric Field
MHTCET_Physics,11,Electrostatics,Electric Potential
MHTCET_Physics,12,Electrostatics,Capacitors
MHTCET_Physics,11,Current Electricity,Electric Current
MHTCET_Physics,11,Current Electricity,Ohm's Law
MHTCET_Physics,12,Current Electricity,Kirchhoff's Laws
MHTCET_Physics,12,Current Electricity,Wheatstone Bridge
MHTCET_Physics,12,Current Electricity,Potentiometer
MHTCET_Physics,12,Magnetic Effects of Current,Biot-Savart Law
MHTCET_Physics,12,Magnetic Effects of Current,Ampere's Circuital Law
MHTCET_Physics,12,Magnetic Effects of Current,Force on Moving Charge
MHTCET_Physics,12,Magnetic Effects of Current,Cyclotron
MHTCET_Physics,11,Magnetism,Bar Magnet
MHTCET_Physics,11,Magnetism,Magnetic Field Lines
MHTCET_Physics,11,Magnetism,Earth's Magnetism
MHTCET_Physics,12,Electromagnetic Induction,Faraday's Laws
MHTCET_Physics,12,Electromagnetic Induction,Lenz's Law
MHTCET_Physics,12,Electromagnetic Induction,Self Induction
MHTCET_Physics,12,Electromagnetic Induction,Mutual Induction
MHTCET_Physics,12,Alternating Current,AC Voltage and Current
MHTCET_Physics,12,Alternating Current,RMS Value
MHTCET_Physics,12,Alternating Current,LC Oscillations
MHTCET_Physics,12,Alternating Current,Transformer
MHTCET_Physics,11,Electromagnetic Waves,Displacement Current
MHTCET_Physics,11,Electromagnetic Waves,Electromagnetic Spectrum
MHTCET_Physics,11,Ray Optics,Reflection of Light
MHTCET_Physics,11,Ray Optics,Refraction
MHTCET_Physics,11,Ray Optics,Total Internal Reflection
